,Title,Authors,Year,Venue,Publisher,Citation_Count,Avg_Citations_Per_Year
561,MapReduce based intelligent model for intrusion detection using machine learning technique,"M Asif, S Abbas, MA Khan, A Fatima, MA Khan…",2022,Journal of King Saud …,Elsevier,179,59.67
562,Modeling potential evapotranspiration by improved machine learning methods using limited climatic data,"RR Mostafa, O Kisi, RM Adnan, T Sadeghifar, A Kuriqi",2023,Water,mdpi.com,50,25.0
563,Machine learning-assisted approaches in modernized plant breeding programs,"M Yoosefzadeh Najafabadi, M Hesami, M Eskandari",2023,Genes,mdpi.com,37,18.5
564,What machine learning can do for computational solid mechanics,"S Kumar, DM Kochmann",2022,Current trends and open problems in …,Springer,48,16.0
565,Predicting the quality of air with machine learning approaches: Current research priorities and future perspectives,"K Mehmood, Y Bao, W Cheng, MA Khan…",2022,Journal of Cleaner …,Elsevier,31,10.33
566,Applications of machine learning in thermochemical conversion of biomass-A review,"SR Naqvi, Z Ullah, SAA Taqvi, MNA Khan, W Farooq…",2023,Fuel,Elsevier,111,55.5
567,Machine learning techniques to detect a DDoS attack in SDN: A systematic review,"TE Ali, YW Chong, S Manickam",2023,Applied Sciences,mdpi.com,76,38.0
568,Study of E-Commerce and Impact of Machine Learning in E-Commerce,"M Sharma, V Sharma, R Kapoor",2022,Empirical Research for Futuristic E …,igi-global.com,35,11.67
569,Machine learning and the Internet of Things security: Solutions and open challenges,"U Farooq, N Tariq, M Asim, T Baker…",2022,Journal of Parallel and …,Elsevier,54,18.0
570,Machine learning models to accelerate the design of polymeric long-acting injectables,"P Bannigan, Z Bao, RJ Hickman, M Aldeghi…",2023,Nature …,nature.com,77,38.5
571,Performance analysis of the water quality index model for predicting water state using machine learning techniques,"MG Uddin, S Nash, A Rahman, AI Olbert",2023,Process Safety and …,Elsevier,122,61.0
572,Data Versioning and Its Impact on Machine Learning Models,MR Pulicharla,2024,Journal of Science & Technology,thesciencebrigade.com,39,39.0
573,Machine learning in tissue engineering,"JL Guo, M Januszyk, MT Longaker",2023,Tissue Engineering Part A,liebertpub.com,26,13.0
574,Solar photovoltaic power prediction using different machine learning methods,B Zazoum,2022,Energy Reports,Elsevier,119,39.67
575,"Past, present and perspective methodology for groundwater modeling-based machine learning approaches","AIA Osman, AN Ahmed, YF Huang, P Kumar…",2022,… Methods in Engineering,Springer,46,15.33
576,Counting carbon: A survey of factors influencing the emissions of machine learning,"AS Luccioni, A Hernandez-Garcia",2023,arXiv preprint arXiv:2302.08476,arxiv.org,44,22.0
577,Detecting phishing domains using machine learning,"S Alnemari, M Alshammari",2023,Applied Sciences,mdpi.com,43,21.5
578,A machine learning method for the evaluation of ship grounding risk in real operational conditions,"M Zhang, P Kujala, S Hirdaris",2022,Reliability Engineering & System Safety,Elsevier,78,26.0
579,Towards leveraging the role of machine learning and artificial intelligence in precision agriculture and smart farming,"TA Shaikh, T Rasool, FR Lone",2022,Computers and Electronics in Agriculture,Elsevier,402,134.0
580,A machine learning approach to volatility forecasting,"K Christensen, M Siggaard…",2023,Journal of Financial …,academic.oup.com,104,52.0
581,Missing data is poorly handled and reported in prediction model studies using machine learning: a literature review,"SWJ Nijman, AM Leeuwenberg, I Beekers…",2022,Journal of clinical …,Elsevier,122,40.67
582,A database of ultrastable MOFs reassembled from stable fragments with machine learning models,"A Nandy, S Yue, C Oh, C Duan, GG Terrones…",2023,Matter,cell.com,29,14.5
583,Clinical Data Analysis for Prediction of Cardiovascular Disease Using Machine Learning Techniques,"RG Nadakinamani, A Reyana, S Kautish…",2022,Computational …,Wiley Online Library,88,29.33
584,Flexible sensors and machine learning for heart monitoring,"SH Kwon, L Dong",2022,Nano Energy,Elsevier,39,13.0
585,Code generation using machine learning: A systematic review,"E Dehaerne, B Dey, S Halder, S De Gendt…",2022,Ieee …,ieeexplore.ieee.org,52,17.33
586,Machine learning models to predict the tunnel wall convergence,"J Zhou, Y Chen, C Li, Y Qiu, S Huang, M Tao",2023,Transportation Geotechnics,Elsevier,26,13.0
587,Reviewing multimodal machine learning and its use in cardiovascular diseases detection,"M Moshawrab, M Adda, A Bouzouane, H Ibrahim…",2023,Electronics,mdpi.com,22,11.0
588,"Reliance on artificial intelligence, machine learning and deep learning in the era of industry 4.0","TVN Rao, A Gaddam, M Kurni…",2022,Smart healthcare system …,Wiley Online Library,44,14.67
589,Taxonomy of machine learning safety: A survey and primer,"S Mohseni, H Wang, C Xiao, Z Yu, Z Wang…",2022,ACM Computing …,dl.acm.org,38,12.67
590,Network Security in Cyberspace Using Machine Learning Techniques,"CS Ranganathan, R Raman, KK Sutaria…",2023,2023 7th …,ieeexplore.ieee.org,32,16.0
591,A study of network intrusion detection systems using artificial intelligence/machine learning,"P Vanin, T Newe, LL Dhirani, E O'Connell, D O'Shea…",2022,Applied Sciences,mdpi.com,54,18.0
592,Air Quality Index prediction using machine learning for Ahmedabad city,"NN Maltare, S Vahora",2023,Digital Chemical Engineering,Elsevier,46,23.0
593,Temporal graph benchmark for machine learning on temporal graphs,"S Huang, F Poursafaei, J Danovitch…",2024,Advances in …,proceedings.neurips.cc,58,58.0
594,"Big data, machine learning, and digital twin assisted additive manufacturing: A review","L Jin, X Zhai, K Wang, K Zhang, D Wu, A Nazir, J Jiang…",2024,Materials & Design,Elsevier,10,10.0
595,Literature review of breast cancer detection using machine learning algorithms,"BS Abunasser, MRJ AL-Hiealy, IS Zaqout…",2023,AIP Conference …,pubs.aip.org,30,15.0
596,Machine learning and phone data can improve targeting of humanitarian aid,"E Aiken, S Bellue, D Karlan, C Udry, JE Blumenstock",2022,Nature,nature.com,150,50.0
597,Perspective: Predicting and optimizing thermal transport properties with machine learning methods,"H Wei, H Bao, X Ruan",2022,Energy and AI,Elsevier,33,11.0
598,Integrating physics-based modeling with machine learning for lithium-ion batteries,"H Tu, S Moura, Y Wang, H Fang",2023,Applied energy,Elsevier,70,35.0
599,Artificial intelligence: Machine learning approach for screening large database and drug discovery,"PP Parvatikar, S Patil, K Khaparkhuntikar, S Patil…",2023,Antiviral Research,Elsevier,26,13.0
600,Optimizing Data Warehousing Performance through Machine Learning Algorithms in the Cloud,S Ahmadi,2023,International Journal of Science and Research (IJSR),papers.ssrn.com,43,21.5
601,A systematic literature review on modern methods of construction in building: An integrated approach using machine learning,"AJ Sánchez-Garrido, IJ Navarro, J García…",2023,Journal of Building …,Elsevier,25,12.5
602,Reviewing federated machine learning and its use in diseases prediction,"M Moshawrab, M Adda, A Bouzouane, H Ibrahim…",2023,Sensors,mdpi.com,42,21.0
603,Diagnosis of breast cancer using machine learning techniques-a survey,"RK Yadav, P Singh, P Kashtriya",2023,Procedia Computer Science,Elsevier,32,16.0
604,"Past, present, and future of sustainable finance: insights from big data analytics through machine learning of scholarly research","S Kumar, D Sharma, S Rao, WM Lim…",2022,Annals of Operations …,Springer,300,100.0
605,Machine learning for educational metaverse: How far are we?,"U Bilotti, D Di Dario, F Palomba…",2023,2023 IEEE …,ieeexplore.ieee.org,18,9.0
606,DDoS attacks detection using machine learning and deep learning techniques: Analysis and comparison,"MA Al-Shareeda, S Manickam…",2023,Bulletin of Electrical …,mail.beei.org,59,29.5
607,"Artificial intelligence, machine learning and smart technologies for nondestructive evaluation","H Taheri, M Gonzalez Bocanegra, M Taheri",2022,Sensors,mdpi.com,45,15.0
608,Prediction of crop yield using machine learning,"MA Shaik, G Manoharan, B Prashanth…",2022,AIP Conference …,pubs.aip.org,41,13.67
609,A literature review of machine learning algorithms for crash injury severity prediction,"K Santos, JP Dias, C Amado",2022,Journal of safety research,Elsevier,109,36.33
610,Effectiveness of machine learning technology in detecting patterns of certain diseases within patient electronic healthcare records,"DK Sharma, DS Chakravarthi, RSK Boddu…",2022,Proceedings of Second …,Springer,41,13.67
611,Application of machine learning in spatial proteomics,"M Mou, Z Pan, M Lu, H Sun, Y Wang…",2022,Journal of Chemical …,ACS Publications,27,9.0
612,Artificial intelligence and machine learning in precision and genomic medicine,S Quazi,2022,Medical Oncology,Springer,189,63.0
613,Machine learning for the prediction of acute kidney injury in patients with sepsis,"S Yue, S Li, X Huang, J Liu, X Hou, Y Zhao…",2022,Journal of translational …,Springer,89,29.67
614,Machine learning-based time series models for effective CO2 emission prediction in India,"S Kumari, SK Singh",2023,Environmental Science and Pollution Research,Springer,88,44.0
615,Machine learning in antibacterial drug design,"M Jukič, U Bren",2022,Frontiers in Pharmacology,frontiersin.org,31,10.33
616,Detection of Deauthentication Threats in Wi-Fi Channels Using Machine Learning Strategies,"R Latha, RM Bommi",2022,"… Conference on Data Science, Agents & …",ieeexplore.ieee.org,54,18.0
617,Efficient medical diagnosis of human heart diseases using machine learning techniques with and without GridSearchCV,"GN Ahmad, H Fatima, S Ullah, AS Saidi",2022,IEEE Access,ieeexplore.ieee.org,134,44.67
618,Algorithmic bias in machine learning-based marketing models,"S Akter, YK Dwivedi, S Sajib, K Biswas…",2022,Journal of Business …,Elsevier,107,35.67
619,An Overview of Machine Learning for Asset Management.,"Y Lee, JRJ Thompson, JH Kim…",2023,Journal of Portfolio …,search.ebscohost.com,13,6.5
620,Synthetic data as an enabler for machine learning applications in medicine,"JF Rajotte, R Bergen, DL Buckeridge, K El Emam, R Ng…",2022,Iscience,cell.com,42,14.0
621,Machine learning in safety and health research: a scientometric analysis,"KH Abdullah, D Sofyan",2023,International Journal of Information Science and …,ijism.isc.ac,44,22.0
622,"Machine learning approaches for smart city applications: Emergence, challenges and opportunities","S Mehta, B Bhushan, R Kumar",2022,… in internet of things and machine learning …,Springer,35,11.67
623,Accelerating 3D printing of pharmaceutical products using machine learning,"JJ Ong, BM Castro, S Gaisford, P Cabalar…",2022,International Journal of …,Elsevier,60,20.0
624,Groundwater level prediction using machine learning models: A comprehensive review,"H Tao, MM Hameed, HA Marhoon…",2022,Neurocomputing,Elsevier,211,70.33
625,SliceTeller: A data slice-driven approach for machine learning model validation,"X Zhang, JP Ono, H Song, L Gou…",2022,IEEE Transactions on …,ieeexplore.ieee.org,34,11.33
626,Explanation of machine learning models using shapley additive explanation and application for real data in hospital,"Y Nohara, K Matsumoto, H Soejima…",2022,Computer Methods and …,Elsevier,230,76.67
627,Toward practices for human-centered machine learning,S Chancellor,2023,Communications of the ACM,dl.acm.org,38,19.0
628,A survey on fairness for machine learning on graphs,"C Laclau, C Largeron, M Choudhary",2022,arXiv preprint arXiv:2205.05396,arxiv.org,31,10.33
629,Enhanced credit card fraud detection model using machine learning,"NS Alfaiz, SM Fati",2022,Electronics,mdpi.com,112,37.33
630,Crop prediction using machine learning,"MS Rao, A Singh, NVS Reddy…",2022,Journal of Physics …,iopscience.iop.org,45,15.0
631,An artificial intelligence model for heart disease detection using machine learning algorithms,"V Chang, VR Bhavani, AQ Xu, MA Hossain",2022,Healthcare Analytics,Elsevier,179,59.67
632,Detection Collision Flows in SDN Based 5G Using Machine Learning Algorithms.,"A Aqdus, R Amin, S Ramzan…",2023,… Materials & Continua,cdn.techscience.cn,70,35.0
633,Energy demand forecasting using fused machine learning approaches,TM Ghazal,2022,Intelligent Automation & Soft …,research.skylineuniversity.ac.ae,81,27.0
634,"Machine learning and deep learning based computational approaches in automatic microorganisms image recognition: methodologies, challenges, and …","P Rani, S Kotwal, J Manhas, V Sharma…",2022,… Methods in Engineering,Springer,86,28.67
635,Diabetes prediction using machine learning and explainable AI techniques,"I Tasin, TU Nabil, S Islam…",2023,Healthcare Technology …,Wiley Online Library,110,55.0
636,Machine learning in sustainable ship design and operation: A review,"L Huang, B Pena, Y Liu, E Anderlini",2022,Ocean Engineering,Elsevier,32,10.67
637,Efficient removal of greenhouse gases: machine learning-assisted exploration of metal–organic framework space,"R Xin, C Wang, Y Zhang, R Peng, R Li, J Wang…",2024,ACS …,ACS Publications,7,7.0
638,Crops yield prediction based on machine learning models: Case of West African countries,"LS Cedric, WYH Adoni, R Aworka, JT Zoueu…",2022,Smart Agricultural …,Elsevier,115,38.33
639,Machine learning aided nanoindentation: A review of the current state and future perspectives,"ES Puchi-Cabrera, E Rossi, G Sansonetti…",2023,Current Opinion in Solid …,Elsevier,22,11.0
640,DEM resolution effects on machine learning performance for flood probability mapping,"M Avand, A Kuriqi, M Khazaei…",2022,Journal of Hydro …,Elsevier,98,32.67
641,Machine learning approach for autonomous detection and classification of COVID-19 virus,"OR Shahin, HH Alshammari, AI Taloba…",2022,Computers and …,Elsevier,51,17.0
642,Machine learning for enhancing transportation security: A comprehensive analysis of electric and flying vehicle systems,"H Alqahtani, G Kumar",2024,Engineering Applications of Artificial Intelligence,Elsevier,45,45.0
643,"Machine learning methods, databases and tools for drug combination prediction","L Wu, Y Wen, D Leng, Q Zhang, C Dai…",2022,Briefings in …,academic.oup.com,71,23.67
644,A survey: Distributed Machine Learning for 5G and beyond,"O Nassef, W Sun, H Purmehdi, M Tatipamula…",2022,Computer Networks,Elsevier,58,19.33
645,Deep learning and machine learning with grid search to predict later occurrence of breast Cancer metastasis using clinical data,"X Jiang, C Xu",2022,Journal of clinical medicine,mdpi.com,62,20.67
646,Methodological conduct of prognostic prediction models developed using machine learning in oncology: a systematic review,"P Dhiman, J Ma, CL Andaur Navarro, B Speich…",2022,BMC medical research …,Springer,61,20.33
647,Remaining Useful Life prediction and challenges: A literature review on the use of Machine Learning Methods,"C Ferreira, G Gonçalves",2022,Journal of Manufacturing Systems,Elsevier,141,47.0
648,Machine-learning interpretability techniques for seismic performance assessment of infrastructure systems,"S Mangalathu, K Karthikeyan, DC Feng, JS Jeon",2022,Engineering Structures,Elsevier,88,29.33
649,A comprehensive empirical study of bias mitigation methods for machine learning classifiers,"Z Chen, JM Zhang, F Sarro, M Harman",2023,ACM Transactions on Software …,dl.acm.org,61,30.5
650,Artificial intelligence and machine learning in finance: A bibliometric review,"S Ahmed, MM Alshater, A El Ammari…",2022,Research in International …,Elsevier,200,66.67
651,A review of hydrodynamic and machine learning approaches for flood inundation modeling,"F Karim, MA Armin, D Ahmedt-Aristizabal…",2023,Water,mdpi.com,42,21.0
652,Ground truth tracings (GTT): On the epistemic limits of machine learning,EB Kang,2023,Big data & society,journals.sagepub.com,22,11.0
653,When confidence meets accuracy: Exploring the effects of multiple performance indicators on trust in machine learning models,"A Rechkemmer, M Yin",2022,Proceedings of the 2022 chi conference on …,dl.acm.org,80,26.67
654,Multibody dynamics and control using machine learning,"A Hashemi, G Orzechowski, A Mikkola…",2023,Multibody System …,Springer,25,12.5
655,Prediction of critical filling of a storage area network by machine learning methods,"IS Masich, VS Tynchenko, VA Nelyub, VV Bukhtoyarov…",2022,Electronics,mdpi.com,45,15.0
656,Interpretable models for extrapolation in scientific machine learning,"ES Muckley, JE Saal, B Meredig, CS Roper…",2023,Digital …,pubs.rsc.org,26,13.0
657,The disagreement problem in explainable machine learning: A practitioner's perspective,"S Krishna, T Han, A Gu, J Pombra, S Jabbari…",2022,arXiv preprint arXiv …,arxiv.org,199,66.33
658,SurvSHAP (t): time-dependent explanations of machine learning survival models,"M Krzyziński, M Spytek, H Baniecki, P Biecek",2023,Knowledge-Based Systems,Elsevier,60,30.0
659,Machine learning for forecasting a photovoltaic (PV) generation system,"C Scott, M Ahsan, A Albarbar",2023,Energy,Elsevier,47,23.5
660,A machine learning model to predict the pyrolytic kinetics of different types of feedstocks,"S Wang, Z Shi, Y Jin, IN Zaini, Y Li, C Tang…",2022,Energy Conversion and …,Elsevier,35,11.67
661,A predictive analytics approach for stroke prediction using machine learning and neural networks,"S Dev, H Wang, CS Nwosu, N Jain, B Veeravalli…",2022,Healthcare …,Elsevier,132,44.0
662,Disclosure sentiment: Machine learning vs. dictionary methods,"R Frankel, J Jennings, J Lee",2022,Management Science,pubsonline.informs.org,102,34.0
663,Novel machine learning applications on fly ash based concrete: an overview,"G Khambra, P Shukla",2023,Materials Today: Proceedings,Elsevier,106,53.0
664,Disease analysis using machine learning approaches in healthcare system,"HK Bhuyan, V Ravi, B Brahma, NK Kamila",2022,Health and Technology,Springer,24,8.0
665,Change detection in remote sensing image data comparing algebraic and machine learning methods,"A Goswami, D Sharma, H Mathuku, SMP Gangadharan…",2022,Electronics,mdpi.com,161,53.67
666,Machine learning for smart agriculture and precision farming: towards making the fields talk,"TA Shaikh, WA Mir, T Rasool, S Sofi",2022,Archives of Computational Methods …,Springer,81,27.0
667,Adversarial machine learning for network intrusion detection systems: A comprehensive survey,"K He, DD Kim, MR Asghar",2023,IEEE Communications Surveys & …,ieeexplore.ieee.org,137,68.5
668,"Mapping of machine learning approaches for description, prediction, and causal inference in the social and health sciences","AK Leist, M Klee, JH Kim, DH Rehkopf, SPA Bordas…",2022,Science …,science.org,51,17.0
669,Robustness of local predictions in atomistic machine learning models,"S Chong, F Grasselli, C Ben Mahmoud…",2023,Journal of Chemical …,ACS Publications,17,8.5
670,The role of artificial intelligence and machine learning amid the COVID-19 pandemic: What lessons are we learning on 4IR and the sustainable development goals,D Mhlanga,2022,International Journal of Environmental Research and …,mdpi.com,129,43.0
671,Machine learning and deep learning techniques for breast cancer diagnosis and classification: a comprehensive review of medical imaging studies,"M Radak, HY Lafta, H Fallahi",2023,Journal of Cancer Research and Clinical …,Springer,39,19.5
672,First machine learning gravitational-wave search mock data challenge,"MB Schäfer, O Zelenka, AH Nitz, H Wang, S Wu…",2023,Physical Review D,APS,43,21.5
673,Navigating the future: integrating AI and machine learning in hr practices for a digital workforce,"CG Okatta, FA Ajayi, O Olawale",2024,Computer Science & IT Research …,fepbl.com,42,42.0
674,Predicting air quality index using ensemble machine learning,"M Hardini, RA Sunarjo, M Asfi, MHR Chakim…",2023,ADI Journal on Recent …,adi-journal.org,24,12.0
675,A machine learning application in wine quality prediction,"P Bhardwaj, P Tiwari, K Olejar Jr, W Parr…",2022,Machine Learning with …,Elsevier,57,19.0
676,Divination of air quality assessment using ensembling machine learning approach,"P William, DN Paithankar, PM Yawalkar…",2023,2023 International …,ieeexplore.ieee.org,41,20.5
677,Review of machine learning approach on credit card fraud detection,"R Bin Sulaiman, V Schetinin, P Sant",2022,Human-Centric Intelligent Systems,Springer,117,39.0
678,Complex features extraction with deep learning model for the detection of COVID19 from CT scan images using ensemble based machine learning approach,"MR Islam, M Nahiduzzaman",2022,Expert Systems with Applications,Elsevier,98,32.67
679,A survey and taxonomy of loss functions in machine learning,"L Ciampiconi, A Elwood, M Leonardi…",2023,arXiv preprint arXiv …,arxiv.org,33,16.5
680,"Revolutionizing municipal solid waste management (MSWM) with machine learning as a clean resource: Opportunities, challenges and solutions","MT Munir, B Li, M Naqvi",2023,Fuel,Elsevier,24,12.0
681,Application of machine learning for cytometry data,"Z Hu, S Bhattacharya, AJ Butte",2022,Frontiers in immunology,frontiersin.org,43,14.33
682,Predicting measures of soil health using the microbiome and supervised machine learning,"RC Wilhelm, HM van Es, DH Buckley",2022,Soil Biology and Biochemistry,Elsevier,98,32.67
683,Time-series forecasting of seasonal items sales using machine learning–A comparative analysis,"Y Ensafi, SH Amin, G Zhang, B Shah",2022,International Journal of Information …,Elsevier,204,68.0
684,Predicting sentiment and rating of tourist reviews using machine learning,"K Puh, M Bagić Babac",2023,Journal of hospitality and tourism insights,emerald.com,63,31.5
685,Machine learning for enhanced regional seismic risk assessments,"P Kourehpaz, C Molina Hutt",2022,Journal of Structural Engineering,ascelibrary.org,37,12.33
686,Security enhancement by identifying attacks using machine learning for 5G network,"H Keserwani, H Rastogi, AZ Kurniullah…",2022,International Journal …,researchgate.net,46,15.33
687,Recent advances in machine learning research for nanofluid-based heat transfer in renewable energy system,"P Sharma, Z Said, A Kumar, S Nizetic, A Pandey…",2022,Energy & …,ACS Publications,218,72.67
688,Lift: Language-interfaced fine-tuning for non-language machine learning tasks,"T Dinh, Y Zeng, R Zhang, Z Lin…",2022,Advances in …,proceedings.neurips.cc,94,31.33
689,Early-stage Alzheimer's disease prediction using machine learning models,"C Kavitha, V Mani, SR Srividhya, OI Khalaf…",2022,Frontiers in public …,frontiersin.org,164,54.67
690,News-based intelligent prediction of financial markets using text mining and machine learning: A systematic literature review,"MN Ashtiani, B Raahemi",2023,Expert Systems with Applications,Elsevier,89,44.5
691,Predicting mental health illness using machine learning algorithms,"K Vaishnavi, UN Kamath, BA Rao…",2022,Journal of Physics …,iopscience.iop.org,45,15.0
692,A novel approach for estimating and predicting uncertainty in water quality index model using machine learning approaches,"MG Uddin, S Nash, A Rahman, AI Olbert",2023,Water Research,Elsevier,113,56.5
693,Cardiovascular Disease Risk Prediction with Supervised Machine Learning Techniques.,"E Dritsas, S Alexiou, K Moustakas",2022,ICT4AWE,scitepress.org,46,15.33
694,Machine learning for topology optimization: Physics-based learning through an independent training strategy,"FV Senhora, H Chi, Y Zhang, L Mirabella…",2022,Computer Methods in …,Elsevier,42,14.0
695,Machine learning for regional crop yield forecasting in Europe,"D Paudel, H Boogaard, A de Wit, M van der Velde…",2022,Field Crops …,Elsevier,73,24.33
696,House price prediction using random forest machine learning technique,"AB Adetunji, ON Akande, FA Ajala, O Oyewo…",2022,Procedia Computer …,Elsevier,106,35.33
697,Machine learning and internet of things in industry 4.0: A review,"MS Rahman, T Ghosh, NF Aurna, MS Kaiser…",2023,Measurement …,Elsevier,34,17.0
698,A performance analysis of dimensionality reduction algorithms in machine learning models for cancer prediction,"MF Kabir, T Chen, SA Ludwig",2023,Healthcare Analytics,Elsevier,58,29.0
699,Early detection of coronary heart disease based on machine learning methods,"R Yılmaz, FH Yağın",2022,Medical Records,dergipark.org.tr,55,18.33
700,Suspicious activity detection and classification in IoT environment using machine learning approach,"V Talukdar, D Dhabliya, B Kumar…",2022,"… , Distributed and Grid …",ieeexplore.ieee.org,41,13.67
701,Machine learning for technical skill assessment in surgery: a systematic review,"K Lam, J Chen, Z Wang, FM Iqbal, A Darzi, B Lo…",2022,NPJ digital …,nature.com,82,27.33
702,Acoustic fish species identification using deep learning and machine learning algorithms: A systematic review,"A Yassir, SJ Andaloussi, O Ouchetto, K Mamza…",2023,Fisheries …,Elsevier,16,8.0
703,"Machine learning in the identification, prediction and exploration of environmental toxicology: Challenges and perspectives","X Wu, Q Zhou, L Mu, X Hu",2022,Journal of Hazardous Materials,Elsevier,29,9.67
704,Survey paper: Comparative study of machine learning techniques and its recent applications,"BD Shivahare, S Suman…",2022,… in Technology and …,ieeexplore.ieee.org,32,10.67
705,Image segmentation for MR brain tumor detection using machine learning: a review,"TA Soomro, L Zheng, AJ Afifi, A Ali…",2022,IEEE Reviews in …,ieeexplore.ieee.org,148,49.33
706,Grain boundary sliding and distortion on a nanosecond timescale induce trap states in CsPbBr 3: ab initio investigation with machine learning force field,"D Liu, Y Wu, AS Vasenko, OV Prezhdo",2023,Nanoscale,pubs.rsc.org,21,10.5
707,Creativity and machine learning: A survey,"G Franceschelli, M Musolesi",2024,ACM Computing Surveys,dl.acm.org,40,40.0
708,Using machine learning algorithms classified depressed patients and normal people,"G Chopra, P Whig",2022,International Journal of Machine Learning for …,ijsdcs.com,45,15.0
709,An ensemble approach to predict early-stage diabetes risk using machine learning: An empirical study,"UE Laila, K Mahboob, AW Khan, F Khan, W Taekeun",2022,Sensors,mdpi.com,94,31.33
710,A novel machine learning approach for solar radiation estimation,"H Hissou, S Benkirane, A Guezzaz, M Azrour…",2023,Sustainability,mdpi.com,31,15.5
711,Motion planning and control for mobile robot navigation using machine learning: a survey,"X Xiao, B Liu, G Warnell, P Stone",2022,Autonomous Robots,Springer,216,72.0
712,Machine learning and blockchain technologies for cybersecurity in connected vehicles,"J Ahmad, MU Zia, IH Naqvi, JN Chattha…",2024,… : Data Mining and …,Wiley Online Library,29,29.0
713,Machine learning sensors,"P Warden, M Stewart, B Plancher, S Katti…",2023,Communications of the …,dl.acm.org,20,10.0
714,Enhancing machine learning with low-cost p m2. 5 air quality sensor calibration using image processing,"U Rahardja, Q Aini, D Manongga…",2023,APTISI Transactions …,ijc.ilearning.co,38,19.0
715,Predicting employee attrition using machine learning approaches,"A Raza, K Munir, M Almutairi, F Younas, MMS Fareed",2022,Applied Sciences,mdpi.com,68,22.67
716,Multiple sclerosis diagnosis using machine learning and deep learning: challenges and opportunities,"N Aslam, IU Khan, A Bashamakh, FA Alghool…",2022,Sensors,mdpi.com,41,13.67
717,A systematic review on machine learning and deep learning techniques in the effective diagnosis of Alzheimer's disease,"AD Arya, SS Verma, P Chakarabarti, T Chakrabarti…",2023,Brain Informatics,Springer,48,24.0
718,Recent trends of machine learning applied to multi-source data of medicinal plants,"Y Zhang, Y Wang",2023,Journal of Pharmaceutical Analysis,Elsevier,20,10.0
719,Transfer learning for radio frequency machine learning: a taxonomy and survey,"LJ Wong, AJ Michaels",2022,Sensors,mdpi.com,39,13.0
720,Machine learning for predicting chronic diseases: a systematic review,"FM Delpino, ÂK Costa, SR Farias…",2022,Public Health,Elsevier,34,11.33
721,Employee performance prediction: An integrated approach of business analytics and machine learning,"MDR Hasan, RK Ray…",2024,Journal of Business and …,al-kindipublisher.com,42,42.0
722,Error metrics and performance fitness indicators for artificial intelligence and machine learning in engineering and sciences,"MZ Naser, AH Alavi",2023,"Architecture, Structures and Construction",Springer,232,116.0
723,Transition1x-a dataset for building generalizable reactive machine learning potentials,"M Schreiner, A Bhowmik, T Vegge, J Busk, O Winther",2022,Scientific Data,nature.com,43,14.33
724,Cancer prediction using machine learning,"G Sruthi, CL Ram, MK Sai, BP Singh…",2022,… in Technology and …,ieeexplore.ieee.org,38,12.67
725,Application of machine learning techniques to detect the children with autism spectrum disorder,"M Liao, H Duan, G Wang",2022,Journal of Healthcare Engineering,Wiley Online Library,61,20.33
726,Direct generation of protein conformational ensembles via machine learning,"G Janson, G Valdes-Garcia, L Heo, M Feig",2023,Nature Communications,nature.com,74,37.0
727,PMLB v1. 0: an open-source dataset collection for benchmarking machine learning methods,"JD Romano, TT Le, W La Cava, JT Gregg…",2022,…,academic.oup.com,92,30.67
728,Machine learning on thyroid disease: a review,"KS Lee, H Park",2022,Frontiers in Bioscience-Landmark,imrpress.com,29,9.67
729,A review on security analysis of cyber physical systems using Machine learning,"AA Jamal, AAM Majid, A Konev, T Kosachenko…",2023,Materials today …,Elsevier,79,39.5
730,Data Fusion-based machine learning architecture for intrusion detection,TM Ghazal,2022,"Computers, Materials & Continua",research.skylineuniversity.ac.ae,100,33.33
731,Multi-label active learning-based machine learning model for heart disease prediction,"IM El-Hasnony, OM Elzeki, A Alshehri, H Salem",2022,Sensors,mdpi.com,124,41.33
732,Machine-learning methods for ligand–protein molecular docking,"K Crampon, A Giorkallos, M Deldossi, S Baud…",2022,Drug discovery today,Elsevier,185,61.67
733,Revolutionizing healthcare: the role of machine learning in the health sector,M Sarker,2024,Journal of Artificial Intelligence General science …,ojs.boulibrary.com,29,29.0
734,Movie recommendation and sentiment analysis using machine learning,"N Pavitha, V Pungliya, A Raut, R Bhonsle…",2022,Global Transitions …,Elsevier,61,20.33
735,Merging data curation and machine learning to improve nanomedicines,"C Chen, Z Yaari, E Apfelbaum, P Grodzinski…",2022,Advanced drug delivery …,Elsevier,46,15.33
736,Auto modelling for machine learning: a comparison implementation between rapid miner and python,"N Baharun, NFM Razi, S Masrom…",2022,Int. J. Emerg. Technol …,researchgate.net,28,9.33
737,"Accountability in an algorithmic society: relationality, responsibility, and robustness in machine learning","AF Cooper, E Moss, B Laufer…",2022,Proceedings of the 2022 …,dl.acm.org,99,33.0
738,Classification and diagnostic prediction of breast cancer metastasis on clinical data using machine learning algorithms,"M Botlagunta, MD Botlagunta, MB Myneni…",2023,Scientific Reports,nature.com,89,44.5
739,The artificial intelligence and machine learning in lung cancer immunotherapy,"Q Gao, L Yang, M Lu, R Jin, H Ye, T Ma",2023,Journal of Hematology & …,Springer,41,20.5
740,Exploring how machine learning practitioners (try to) use fairness toolkits,"WH Deng, M Nagireddy, MSA Lee, J Singh…",2022,Proceedings of the …,dl.acm.org,73,24.33
